Time,Capacity
2021-06-12 18:35:08,15
2021-06-12 18:40:07,13
2021-06-12 18:45:09,12
2021-06-12 18:50:06,12
2021-06-12 18:55:09,11
2021-06-12 19:00:09,11
2021-06-12 19:05:08,10
2021-06-12 19:10:08,10
2021-06-12 19:15:08,10
2021-06-12 19:20:08,9
2021-06-12 19:25:08,9
2021-06-12 19:30:08,9
2021-06-12 19:35:09,8
2021-06-12 19:40:09,8
2021-06-12 19:45:11,9
2021-06-12 19:50:08,9
2021-06-12 19:55:09,10
2021-06-12 20:00:08,10
2021-06-12 20:05:09,12
2021-06-12 20:10:08,12
2021-06-12 20:15:08,13
2021-06-12 20:20:09,12
2021-06-12 20:25:10,12
2021-06-12 20:30:10,14
2021-06-12 20:35:12,14
2021-06-12 20:40:19,16
2021-06-12 20:45:10,16
2021-06-12 20:50:11,17
2021-06-12 20:55:10,17
2021-06-12 21:00:12,16
2021-06-12 21:05:11,18
2021-06-12 21:50:09,9
2021-06-12 21:55:08,9
2021-06-12 22:00:08,10
2021-06-12 22:05:06,11
2021-06-12 22:40:08,14
2021-06-12 22:45:07,13
2021-06-12 22:50:07,16
2021-06-12 22:55:07,15
2021-06-12 23:00:09,15
2021-06-12 23:05:04,13
2021-06-12 23:10:04,11
2021-06-12 23:15:08,12
2021-06-12 23:20:08,14
2021-06-12 23:25:07,13
2021-06-12 23:30:06,13
2021-06-12 23:35:05,11
2021-06-12 23:40:12,12
2021-06-12 23:45:08,11
2021-06-12 23:50:06,10
2021-06-12 23:55:12,10
2021-06-13 0:00:12,7
2021-06-13 0:05:08,7
2021-06-13 0:10:09,6
2021-06-13 0:15:10,6
2021-06-13 0:20:04,5
2021-06-13 0:25:02,4
2021-06-13 0:30:04,4
2021-06-13 0:35:03,4
2021-06-13 0:40:04,4
2021-06-13 0:45:03,4
2021-06-13 0:50:04,4
2021-06-13 0:55:02,3
2021-06-13 1:00:08,3
2021-06-13 1:05:08,4
2021-06-13 1:10:06,4
2021-06-13 1:15:08,4
2021-06-13 1:20:08,4
2021-06-13 1:25:06,4
2021-06-13 1:30:05,4
2021-06-13 1:35:08,4
2021-06-13 1:40:08,3
2021-06-13 1:45:06,2
2021-06-13 1:50:05,3
2021-06-13 1:55:07,3
2021-06-13 2:00:04,3
2021-06-13 2:05:07,3
2021-06-13 2:10:10,3
2021-06-13 2:15:08,3
2021-06-13 2:20:08,3
2021-06-13 2:25:09,2
2021-06-13 2:30:06,2
2021-06-13 2:35:06,2
2021-06-13 2:40:09,2
2021-06-13 2:45:06,2
2021-06-13 2:50:05,2
2021-06-13 2:55:05,2
2021-06-13 3:00:05,2
2021-06-13 3:05:06,2
2021-06-13 3:10:07,1
2021-06-13 3:15:06,1
2021-06-13 3:20:05,1
2021-06-13 3:25:10,1
2021-06-13 3:30:08,1
2021-06-13 3:35:06,1
2021-06-13 3:40:05,1
2021-06-13 3:45:07,1
2021-06-13 3:50:05,1
2021-06-13 3:55:06,1
2021-06-13 4:00:08,2
2021-06-13 4:05:06,2
2021-06-13 4:10:07,2
2021-06-13 4:15:08,2
2021-06-13 4:20:05,1
2021-06-13 4:25:05,1
2021-06-13 4:30:05,1
2021-06-13 4:35:04,1
2021-06-13 4:40:04,2
2021-06-13 4:45:05,1
2021-06-13 4:50:04,1
2021-06-13 4:55:05,1
2021-06-13 5:00:05,1
2021-06-13 5:05:04,1
